Базилевська Таїсія Іванівна,https://public.nazk.gov.ua/search?page=1&q=Базилевська Таїсія Іванівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Солопов Сергій Олександрович,https://public.nazk.gov.ua/search?page=1&q=Солопов Сергій Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Свердлін Дмитро Валерійович,https://public.nazk.gov.ua/search?page=1&q=Свердлін Дмитро Валерійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сергєєв Захар Станіславович,https://public.nazk.gov.ua/search?page=1&q=Сергєєв Захар Станіславович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Кривсун Аліна Олександрівна,https://public.nazk.gov.ua/search?page=1&q=Кривсун Аліна Олександрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Атаманенко Артем Віталійович,https://public.nazk.gov.ua/search?page=1&q=Атаманенко Артем Віталійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Коваленко Анатолій Миколайович,https://public.nazk.gov.ua/search?page=1&q=Коваленко Анатолій Миколайович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Кутузов Михайло Алефтинович,https://public.nazk.gov.ua/search?page=1&q=Кутузов Михайло Алефтинович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Піскунов Євген Васильович,https://public.nazk.gov.ua/search?page=1&q=Піскунов Євген Васильович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Мосьпан Анна Сергіївна,https://public.nazk.gov.ua/search?page=1&q=Мосьпан Анна Сергіївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ковальова Лілія Петрівна,https://public.nazk.gov.ua/search?page=1&q=Ковальова Лілія Петрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Журавльов Андрій Сергійович,https://public.nazk.gov.ua/search?page=1&q=Журавльов Андрій Сергійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Кіньшаков Євген Володимирович,https://public.nazk.gov.ua/search?page=1&q=Кіньшаков Євген Володимирович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ванжа Ірина Олександрівна,https://public.nazk.gov.ua/search?page=1&q=Ванжа Ірина Олександрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Щоголєв Максим Ігорович,https://public.nazk.gov.ua/search?page=1&q=Щоголєв Максим Ігорович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Овчаренко Олена Леонідівна,https://public.nazk.gov.ua/search?page=1&q=Овчаренко Олена Леонідівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
